"filename", "language", "JSON", "JSON with Comments", "Markdown", "Pug", "JavaScript", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\kiwi_\Documents\Programming\Forecast\build\routes\year.js", "JavaScript", 0, 0, 0, 0, 325, 0, 0, 12, 1, 338
"c:\Users\kiwi_\Documents\Programming\Forecast\build\views\includes\sidebar.pug", "Pug", 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"c:\Users\kiwi_\Documents\Programming\Forecast\build\views\index.pug", "Pug", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\kiwi_\Documents\Programming\Forecast\build\views\matrix.pug", "Pug", 0, 0, 0, 52, 0, 0, 0, 33, 1, 86
"c:\Users\kiwi_\Documents\Programming\Forecast\build\views\month.pug", "Pug", 0, 0, 0, 54, 0, 0, 0, 1, 4, 59
"c:\Users\kiwi_\Documents\Programming\Forecast\build\views\year.pug", "Pug", 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\kiwi_\Documents\Programming\Forecast\nodemon.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\kiwi_\Documents\Programming\Forecast\old-package.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\kiwi_\Documents\Programming\Forecast\package-lock.json", "JSON", 6485, 0, 0, 0, 0, 0, 0, 0, 1, 6486
"c:\Users\kiwi_\Documents\Programming\Forecast\package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\kiwi_\Documents\Programming\Forecast\src\app.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 1, 20, 65
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\ExcelDateToJSDate.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\getNewWorkbookItemInspections.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 1, 11, 57
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\getOldWorkbookItemInspections.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 1, 12, 67
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\getRequestedYearUnits.ts", "TypeScript", 0, 0, 0, 0, 0, 61, 0, 3, 20, 84
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\init.ts", "TypeScript", 0, 0, 0, 0, 0, 112, 0, 7, 31, 150
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\inspectionLimits.ts", "TypeScript", 0, 0, 0, 0, 0, 39, 0, 3, 3, 45
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\inspectionList.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 0, 0, 2, 50
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\matrixController.ts", "TypeScript", 0, 0, 0, 0, 0, 198, 0, 2, 39, 239
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\retrieveInformation.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 4, 6, 20
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\retrieveMVIInformation.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 7, 16
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\sanitizeCompanyName.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\sanitizeUnitInspections.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\sanitizeUnitName.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 23, 15, 55
"c:\Users\kiwi_\Documents\Programming\Forecast\src\controllers\sortMonthUnitsByCustomer.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 7, 27
